@relation ElectionsData

@attribute 'Vote' {"Yellows", "Reds", "Whites", "Blues", "Oranges", "Greens", "Greys", "Browns", "Pinks", "Purples"}
@attribute 'Occupation_Satisfaction' NUMERIC
@attribute 'Avg_monthly_expense_when_under_age_21' NUMERIC
@attribute 'AVG_lottary_expanses' NUMERIC
@attribute 'Most_Important_Issue' {"Education", "Foreign_Affairs", "Financial", "Healthcare", "Environment", "Military", "Social", "Other"}
@attribute 'Avg_Residancy_Altitude' NUMERIC
@attribute 'Looking_at_poles_results' {"Yes", "No"}
@attribute 'Yearly_ExpensesK' NUMERIC
@attribute 'Married' {"Yes", "No"}
@attribute 'Gender' {"Male", "Female"}
@attribute 'Voting_Time' {"By_16:00", "After_16:00"}
@attribute 'Financial_balance_score_(0-1)' NUMERIC
@attribute '%Of_Household_Income' NUMERIC
@attribute 'Avg_government_satisfaction' NUMERIC
@attribute 'Avg_education_importance' NUMERIC
@attribute 'Avg_environmental_importance' NUMERIC
@attribute 'Avg_Satisfaction_with_previous_vote' NUMERIC
@attribute 'Avg_monthly_income_all_years' NUMERIC
@attribute '%Time_invested_in_work' NUMERIC
@attribute 'Yearly_IncomeK' NUMERIC
@attribute 'Avg_monthly_expense_on_pets_or_plants' NUMERIC
@attribute 'Avg_monthly_household_cost' NUMERIC
@attribute 'Will_vote_only_large_party' {"Yes", "No"}
@attribute 'Phone_minutes_10_years' NUMERIC
@attribute 'Avg_size_per_room' NUMERIC
@attribute 'Weighted_education_rank' NUMERIC
@attribute '%_satisfaction_financial_policy' NUMERIC
@attribute 'Garden_sqr_meter_per_person_in_residancy_area' NUMERIC
@attribute 'Last_school_grades' NUMERIC
@attribute 'Age_group' {"Below_30", "30-45", "45_and_up"}
@attribute 'Number_of_differnt_parties_voted_for' NUMERIC
@attribute 'Political_interest_Total_Score' NUMERIC
@attribute 'Number_of_valued_Kneset_members' NUMERIC
@attribute 'Main_transportation' {"Motorcycle_or_truck", "Car", "Public_or_other", "Foot_or_bicycle"}
@attribute 'Occupation' {"Industry_or_other", "Public_Sector", "Hightech", "Student_or_Unemployed", "Services_or_Retail"}
@attribute 'Overall_happiness_score' NUMERIC
@attribute 'Num_of_kids_born_last_10_years' NUMERIC
@attribute 'Financial_agenda_matters' {"Yes", "No"}

@data
"Reds",3,186.589150758193,36596.3550606431,"Education",62.1963835860642,"No",588.400047568729,"No","Female","By_16:00",0.587284116772935,0.107310965424404,3.62562976777554,0.241299888584763,6.80542862042785,2.15353647246957,4863,44.2040168680251,657.96329971004,7199.92707510737,78834.761170897,"Yes",346214.615978882,25.6507953036556,867133.933508017,79.4630445539951,3940.5865147709,100,"Below_30",2,1003.06993939646,2,"Foot_or_bicycle","Public_Sector",704.125929801105,0,"No"
"Greys",7,808.982210676197,174001.454814531,"Healthcare",269.660736892066,"No",645.260621994729,"No","Female","By_16:00",0.867988045327365,0.676179493777454,7.76161466026679,9.23497212119401,5.18342104041949,9.07911336515099,8909,64.7812126204371,616.720424157156,7686.0470682616,76154.9185724856,"Yes",416361.270297025,24.8338564092884,762032.460900463,10.7785643311217,72996.5737580639,80,"30-45",2,964.093010593146,3,"Foot_or_bicycle","Industry_or_other",689.037133304466,0,"No"
"Blues",10,878.873718834546,116728.964743253,"Financial",292.957906278182,"No",398.449614233696,"Yes","Male","After_16:00",0.26871051453054,0.377254287479445,8.38647138793021,8.8555051269941,7.48722598189488,6.29783769603819,9338,56.9991972995922,577.192916266976,5138.88197487091,66927.7328507541,"Yes",158762.095082981,24.0248395679758,667319.54244863,49.284331430681,86127.2927571743,60,"Below_30",3,863.202414485892,8,"Car","Services_or_Retail",607.767656844489,0,"No"
"Whites",3,814.449505701886,202704.176961051,"Foreign_Affairs",271.483168567295,"No",746.654674876481,"No","Female","After_16:00",0.251974375685677,0.634771074634045,8.15493672620505,1.99865195900202,4.37455391976982,1.33414563257247,7522,24.2557555204257,856.314447748166,9179.17564426114,102411.050772964,"Yes",557493.203514904,29.2628509846215,1468227.81567068,77.7366078691557,73984.5939839058,40,"45_and_up",3,1306.49554611775,7,"Public_or_other","Industry_or_other",922.294151313508,0,"Yes"
"Yellows",3,212.777485517052,27960.9370464653,"Environment",70.9258285056839,"No",394.227852329205,"Yes","Male","After_16:00",0.137731098337099,0.974622375331819,9.68813905958086,?,0.400260644964874,0.535411802120507,8835,60.1186190731823,558.082453120769,5058.44342953359,64797.6198611206,"Yes",155415.599552098,23.6237688170361,623901.022472392,30.6634760927409,5111.39897772337,90,"Below_30",3,834.069821777756,12,"Public_or_other","Industry_or_other",584.745657472287,0,"No"
"Reds",4,659.901610947934,136141.552240623,"Education",219.967203649311,"No",618.91750216396,"No","Male","After_16:00",0.351158706471324,0.183623137883842,2.14865933638066,7.18925170134753,3.10346725163981,4.27666595438495,6535,85.5544387595728,700.466566774937,7590.10815518947,83535.0601707789,"Yes",383058.874484875,26.4663289251633,982673.832766838,71.3341642869636,48615.5378849469,100,"30-45",1,1061.35812318333,2,"Motorcycle_or_truck","Industry_or_other",738.092925738984,0,"No"
"Reds",10,835.721677407735,100920.457781596,"Environment",278.573892469245,"No",362.275362156338,"Yes","Male","After_16:00",0.961637432919815,0.275621754815802,0.890116861555725,9.55265465192497,5.24332439992577,3.30911157652736,8279,13.7685709632933,694.497953891297,5011.74952934597,81385.3593470475,"Yes",131243.438025505,26.35332908555,965882.171362252,11.7554700467736,77891.9874579357,90,"45_and_up",1,1088.8157355675,18,"Foot_or_bicycle","Public_Sector",855.080081699391,0,"No"
"Whites",10,99.688351173292,21739.6331171158,"Military",33.2294503910973,"No",654.227887047455,"No","Female","After_16:00",0.15591447125189,?,6.16138962097466,1.83863207697868,9.89307595882565,0.794862208422273,6512,81.121531361714,730.995504047358,8004.26987856926,84823.541798247,"Yes",428014.128190577,27.036928524656,1070034.90903998,67.4034204799682,1147.4258236855,30,"Below_30",4,1054.23238136153,6,"Public_or_other","Services_or_Retail",661.827278028332,1,"Yes"
"Blues",10,477.005540874873,92186.7942161713,"Healthcare",159.001846958291,"No",579.784423764294,"No","Male","By_16:00",0.690316163701937,0.19852484180592,3.41067095985636,9.45283516310155,5.68101092474535,1.39158835168928,5733,17.0695242704824,643.413501231306,7084.67124010555,76259.782595569,"Yes",336149.978039694,25.3655968041619,829200.797961267,0.59242770075798,25450.5891831061,80,"Below_30",1,961.623795507899,5,"Motorcycle_or_truck","Hightech",649.146404046589,1,"No"
"Blues",10,487.857863107052,93871.117438829,"Education",162.619287702351,"No",577.244672296472,"No","Female","By_16:00",0.524855276802555,0.613582891877741,5.66266839159653,9.19628464384004,1.54738461598754,2.81349734170362,7933,37.5082053942606,652.893246482703,7078.23321593012,77303.1189719803,"Yes",333211.411694661,25.5517757990067,853789.840313585,99.0508465562016,26617.6520205222,100,"45_and_up",1,977.034906984167,18,"Motorcycle_or_truck","Public_Sector",663.413035840174,0,"No"
"Oranges",8,176.017675665109,21565.7589970208,"Financial",58.6725585550364,"No",367.561250576648,"Yes","Male","After_16:00",0.690570772392675,0.286923886742443,2.85722472704947,8.84796132100746,1.74696990521625,6.01520839845762,4656,71.6432590503246,579.30221680365,4834.21693937378,70324.0382683582,"Yes",135101.272925469,24.0686978626524,672330.604979746,74.4733958272263,3511.14168594921,60,"Below_30",2,943.591591143193,16,"Motorcycle_or_truck","Services_or_Retail",770.926941924486,1,"No"
"Blues",9,301.074110434737,42616.9391655403,"Financial",100.358036811579,"No",424.648991944243,"Yes","Male","After_16:00",0.26252986327745,0.983072731876746,8.67245527915657,5.99364289315417,1.92358133848757,8.63657424924895,4926,58.3807504270226,581.715645080139,5409.92120960271,67813.880925707,"Yes",180326.766359262,24.1187819982714,677832.032299873,?,10182.0935894858,60,"45_and_up",4,871.608902728369,2,"Foot_or_bicycle","Public_Sector",611.199845923638,0,"No"
"Yellows",7,223.026474607084,43716.8156519514,"Healthcare",74.3421582023614,"No",588.048782938922,?,"Female","By_16:00",0.523597079096362,0.0547750811092556,7.07851858343929,7.78507604962215,4.03183629037812,3.8134727650322,6579,66.3176965201274,639.566287876841,7159.6204051429,80400.4987660341,"Yes",345801.371115947,25.2896478401112,819524.572674234,77.0253062015399,5611.09864438729,80,"Below_30",2,1052.63989446838,18,"Public_or_other","Hightech",836.45071417066,0,"No"
"Whites",5,377.706141683777,58746.9813056736,"Foreign_Affairs",125.902047227926,"No",466.608626302332,"Yes","Female","By_16:00",0.882144154980779,0.767243814887479,3.16897478653118,9.82622225768864,8.09790743514895,4.05907692154869,6860,33.7627299129963,698.888510164376,6063.86328335207,82589.3412136421,"Yes",217723.610139749,26.4364995822892,978181.947634271,85.4596072342247,15987.2275434107,40,"30-45",3,1083.18038598148,2,"Car","Student_or_Unemployed",815.039728406624,0,"Yes"
"Greys",4,162.461946564321,21278.9576852339,"Healthcare",54.1539821881072,"No",392.934311115297,"Yes","Female","After_16:00",0.735137200681493,0.610530333826318,5.22969539510086,3.10453089419752,5.46864249045029,3.91152820317075,3403,92.8435654146597,543.063941262988,5015.47099367894,65735.6250230937,"Yes",154397.372851653,23.3037323461927,590918.54579969,38.1848409771919,2996.80776901793,80,"Below_30",0,867.412422445929,10,"Foot_or_bicycle","Student_or_Unemployed",678.722888395421,1,"No"
"Browns",4,2181.96898647856,178741.490211042,"Financial",727.322995492853,"Yes",245.75256291728,"Yes","Female","By_16:00",0.069514541188255,0.107804949628189,2.58784265490249,7.32938265195116,1.84377499623224,7.17967757256702,9619,36.7771384539083,502.974394750432,3463.47441867366,47189.1358978557,"No",60394.3221804116,22.4270906439162,506342.818318488,26.5384794678539,529736.062768189,60,"Below_30",?,537.543314789452,18,"Motorcycle_or_truck","Services_or_Retail",120.582206444671,0,"No"
"Greens",4,500.367651353183,161526.707154842,"Foreign_Affairs",166.789217117728,"No",968.448140390449,"No","Female","By_16:00",0.959515200695023,0.0569906434975564,9.05070068081841,6.65615546982735,2.89454304846004,2.76146339718252,9954,41.4778755046427,978.993559524171,11642.4685229528,113076.443171014,"Yes",937891.80062572,31.2888727749047,1918630.58992968,21.109237568453,27995.4321638622,40,"30-45",3,1375.62032244651,2,"Public_or_other","Public_Sector",795.362609671429,0,"Yes"
"Greys",6,777.95045977277,119139.708114779,"Financial",259.316819924257,"No",459.436870117327,"Yes","Female","By_16:00",0.472118285950273,0.936333028832451,5.65423525404185,6.76038086647168,9.95511623797938,3.82697224849835,8533,73.6135471845046,604.157389273784,5802.68347972084,73122.506221542,"Yes",211082.237623206,24.5796132856842,731219.977519548,9.93680434767157,67514.5299155536,60,"Below_30",2,958.804647959112,1,"Car","Industry_or_other",738.238621201947,0,"No"
"Greys",9,179.543680058035,27733.7612972944,"Healthcare",59.8478933526784,"No",463.404135779045,"Yes","Female","After_16:00",0.43062229314819,0.174571727169678,6.03666674811393,1.53945588273928,8.45455683069304,0.705574923194945,5840,13.2539944257587,623.378848100677,5880.7990539918,74843.703333772,"Yes",214743.393057123,24.9675559096335,778419.0643578,37.6325972378254,3651.61823210624,80,"45_and_up",1,979.023228552733,3,"Foot_or_bicycle","Student_or_Unemployed",743.28370336844,0,"No"
"Yellows",7,372.009126714711,58456.394959744,"Financial",124.003042238237,"No",471.410974316553,"Yes","Female","By_16:00",0.799927541287616,0.333653789712116,7.07879074383527,6.68106471188366,4.19537367299199,9.79867949383333,5846,56.6359683638439,673.240848058752,6060.59143928304,81792.646972957,"Yes",222228.306706082,25.9468851321069,907853.950510352,33.3628154359758,15510.7575265762,60,"Below_30",1,1086.088133834,7,"Motorcycle_or_truck","Industry_or_other",866.06054629893,2,"No"
"Pinks",4,454.16106335802,126932.562045148,"Other",151.38702111934,"No",838.463965448437,"No","Male","By_16:00",0.723213713616133,0.428436212008819,6.76611705450341,2.98818388720974,5.92242767103016,7.02309360494837,9415,10.3663232410327,674.017699901015,9732.6750542864,86201.4494547072,"Yes",703021.821355518,25.961850856613,910231.929005592,81.309888092801,23079.4171845068,50,"45_and_up",1,1082.3350666732,1,"Public_or_other","Student_or_Unemployed",783.745480434893,1,"Yes"
"Yellows",2,973.196357144215,125608.472114566,"Financial",324.398785714738,"No",387.203891154577,"Yes","Female","By_16:00",0.912312682252377,0.209732400951907,7.36616106005386,9.76008133031428,4.66382720973343,5.38512743078172,9049,81.7240055417642,623.838274254013,5119.7154600538,69798.5651804574,"Yes",149926.853325246,24.9767546781805,779324.242526148,71.2727141100913,105568.970958911,60,"30-45",2,889.501729215996,6,"Public_or_other","Industry_or_other",578.653786543853,2,"No"
"Reds",8,267.893698329405,35579.2183785488,"Social",89.2978994431351,"No",398.432870206602,"Yes","Female","After_16:00",0.297253112308681,0.44842857401818,2.00159518746659,6.39730398543179,9.97538997791708,5.01840817276388,3942,90.7754317624494,771.270982950119,5526.87066796626,88182.8539122402,"Yes",158748.752061071,27.7717659314297,1190983.1527381,49.629924306646,8073.41274439939,70,"Below_30",3,1162.41796477834,16,"Car","Student_or_Unemployed",856.86158620515,0,"No"
"Reds",?,324.024282178469,40185.2465428912,"Healthcare",108.00809405949,"No",372.057732272894,"Yes","Female","By_16:00",0.584109788993374,0.908069351920858,8.71293867472559,6.84504490112886,3.41298486338928,5.8286876953207,7091,64.1126756789163,693.965384006046,5108.50809074103,81076.5051853,"Yes",138426.956144048,26.3432227338655,964394.239738989,86.2382113235071,11783.7564764231,80,"Below_30",3,1079.91142353223,11,"Motorcycle_or_truck","Industry_or_other",836.273609399007,0,"No"
"Yellows",10,115.354234619474,19015.4475736758,"Education",38.4514115398248,"No",494.531847133393,"Yes","Female","By_16:00",0.642387102590874,?,3.8282681372948,8.58187353936955,4.0127199771814,2.820230985526,6958,87.2721428750083,579.391888588799,6104.10224851153,72653.8286894181,"Yes",244561.747829166,24.0705606205755,672672.515415648,28.4118987387046,1526.9624609448,100,"45_and_up",2,959.937106205138,1,"Foot_or_bicycle","Industry_or_other",778.062443523759,3,"No"
"Pinks",3,304.43215745682,90596.0608043467,"Military",101.47738581894,"No",892.770936827166,"No","Male","After_16:00",0.737957999343053,0.292131955735385,5.10946338763461,5.58868272230029,8.01863277098164,3.47804443910718,7758,70.8543197717518,818.426308454946,10564.5619851815,99592.8716031628,"Yes",797039.945643255,28.6081510841743,1341369.5661575,36.4258631365374,10409.1372184649,30,"30-45",3,1237.63601043794,17,"Foot_or_bicycle","Student_or_Unemployed",823.550478291535,0,"Yes"
"Whites",4,382.164295635485,63294.0954683648,"Military",127.388098545162,"No",496.86035187915,"Yes","Male","By_16:00",0.258519609458745,0.837085790699348,0.111116685438901,0.193473964463919,7.72735001519322,0.584124764427543,7574,56.205645413138,990.348753371028,6949.30102553355,102860.088415055,"Yes",246870.209269472,31.4698070119762,1962748.40879217,14.4573287339881,16365.115749497,30,"45_and_up",3,1271.12082981809,18,"Car","Student_or_Unemployed",660.241833192495,1,"Yes"
"Pinks",4,41.9050028232384,13853.7954366362,"Other",13.9683342744128,"No",991.800107620101,"No","Male","By_16:00",0.286401512334123,0.36704915878363,8.09371714480221,1.3325537648052,4.52408774755895,8.1305891321972,8113,69.0646441653371,990.120273083448,11898.2416223679,118908.715172211,"Yes",983667.453475244,31.4661766518185,1962671.08834044,74.769015610218,219.082696676148,50,"30-45",4,1486.77720210218,1,"Motorcycle_or_truck","Hightech",992.977891130139,1,"Yes"
"Whites",2,122.868566985258,37286.7722126549,"Military",40.9561889950859,"No",910.406293347478,"No","Male","By_16:00",0.0861844702158123,0.77947652246803,0.262267130892724,8.93502625171095,0.405478815082461,3.3660027012229,8166,43.737380229868,983.972726651888,11072.0083867786,116720.111891621,"Yes",828839.618966694,31.3683395584128,1938304.42452513,47.3296804819256,1728.36560599628,30,"30-45",1,1466.29840446411,18,"Public_or_other","Hightech",979.364642285321,0,"Yes"
"Greens",2,39.2941424112744,6257.18494680159,"Foreign_Affairs",13.0980474704248,"No",477.718908938926,"Yes","Female","After_16:00",0.535064002266154,0.0765039240941405,1.81858245283365,7.17346463585272,4.60227598203346,8.30049640731886,6151,31.4774603815749,879.829720971447,6536.84853133216,89261.8387575361,"Yes",228215.355957798,29.6619237570905,1549155.97035432,35.7341486262158,194.656895007926,40,"Below_30",4,1073.40645776512,13,"Car","Industry_or_other",467.575635993853,0,"Yes"
"Pinks",2,290.838463376423,16742.0322131506,"Military",96.9461544588077,"No",172.694134250207,"Yes","Female","After_16:00",0.337974476860836,0.736314727924764,8.87815952999517,6.32880258373916,7.20383649691939,2.44277560850605,7631,97.5734854349867,114.433269947767,1955.80788239761,20129.1961843651,"Yes",29823.2640044286,10.6973487345121,26722.1508633574,37.1592930518091,9505.5030188098,30,"45_and_up",4,295.014449993015,16,"Motorcycle_or_truck","Industry_or_other",349.510187230007,0,"Yes"
"Browns",4,2018.64729205266,324684.925530975,"Education",672.88243068422,"Yes",482.528463703265,"Yes","Male","By_16:00",0.339137614471838,0.967638190137222,8.21463641012087,8.1293663312681,5.13526001013815,1.05385021073744,6583,91.1442559910938,698.086604979619,6221.45784699188,74152.2131107501,"No",232833.718283833,26.4213285998191,975581.575038489,86.2882115179673,453453.647954188,100,"Below_30",2,896.146026274269,10,"Public_or_other","Industry_or_other",439.230470844571,5,"No"
"Greys",6,212.65369769228,47260.6034573714,"Environment",70.8845658974268,"No",666.726287436953,"No","Male","By_16:00",0.587992817163467,0.316026377724484,3.00078527070582,4.2522753146477,2.69185909302905,4.53989534173161,9007,70.9801531396806,615.141769092566,7897.54641255466,75899.0598157085,"Yes",444523.942359462,24.8020517113517,758143.056339138,74.0669148275629,5105.50624836407,90,"30-45",1,954.069164446027,3,"Foot_or_bicycle","Industry_or_other",667.537887038046,1,"No"
"Pinks",10,128.101767222447,31333.9136159322,"Other",42.7005890741489,"No",733.805183847029,"No","Female","After_16:00",0.651963574811816,0.416820739163086,5.54893234046176,3.54463380062953,1.28574802074581,5.28383949305862,6516,93.6471841065213,428.070988273248,8194.19381501678,68297.9351413628,"Yes",538470.047840771,20.6898764682936,368171.502314757,11.6915846709162,1876.04089635347,50,"30-45",2,927.721972050266,3,"Public_or_other","Industry_or_other",938.15512843928,1,"Yes"
"Reds",2,39.2603186771501,5122.28605208846,"Financial",13.0867728923834,"No",391.40940965436,"Yes","Female","By_16:00",0.973179291933775,0.418946211691946,2.47572530759498,3.12559964135289,0.505442400462925,4.59140022983775,9122,24.4517173152417,705.347324549396,5324.7887456424,83204.6170014565,"Yes",153201.325965975,26.5583757889935,996306.013345608,99.1901418194175,194.350397629203,60,"30-45",2,1111.40725204643,6,"Motorcycle_or_truck","Student_or_Unemployed",874.907437973076,3,"No"
"Oranges",6,272.876423669801,40334.9774956172,"Healthcare",90.9588078899338,"No",443.442239749065,"Yes","Female","After_16:00",0.0103049362078309,0.146993133006617,3.19010442122817,0.447338330559433,5.20921021001413,9.60477761225775,?,11.3117785425857,606.354426498641,5647.13125048793,73328.0546257968,"Yes",196641.019993667,24.6242649940793,736536.179066575,0.455302512273192,8374.46354064782,80,"45_and_up",1,965.741086740452,19,"Public_or_other","Hightech",751.355757833537,4,"No"
"Blues",5,98.6503985234767,18775.2074184597,"Education",32.8834661744922,"No",570.961933235119,"No","Male","After_16:00",0.358518776483834,0.00310783111490309,9.5288233179599,6.17620160570368,6.19894335279241,4.3358734366484,8475,9.73978880792856,642.179913050929,6993.97915845304,75967.8444953579,"Yes",325997.529203584,25.3412689708098,826018.308541357,99.296841211617,1124.20581382347,100,"45_and_up",2,958.690693032101,20,"Public_or_other","Services_or_Retail",647.265155925506,2,"No"
"Reds",1,275.097129549446,34922.3791824858,"Education",91.6990431831488,"No",380.836898294958,"Yes","Female","By_16:00",0.38954316964373,0.786064519779757,6.18144010426477,4.90096747409552,9.25630731275305,6.67455884627998,3443,26.0532152373344,670.253934119771,5148.87685118912,79421.9431599275,"Yes",145036.743102924,25.889262911867,899711.831093892,65.2533797547221,8510.41356388814,100,"30-45",3,1061.47312530537,5,"Motorcycle_or_truck","Services_or_Retail",840.321789536154,1,"No"
"Greys",10,490.608512754011,97489.9275648182,"Education",163.536170918004,"No",596.136787461528,"No","Male","By_16:00",0.573845932492986,0.561004077550024,3.96158545743674,0.174180355388671,3.74870213679969,3.5272020380944,4993,71.5277636656538,578.221847955018,7117.81157052532,71013.4874185664,"Yes",355379.069364951,24.0462439469248,669922.861353158,5.91175288427621,26917.6153694405,100,"30-45",2,897.87017223869,18,"Car","Student_or_Unemployed",635.713660666042,1,"No"
"Oranges",3,21.8778538427319,3036.62454595845,"Financial",7.2926179475773,"No",416.397042569226,"Yes","Female","By_16:00",0.800656298641115,0.491130491951481,1.88290314050391,2.30567153543234,2.45747317327186,3.6168399406597,7823,73.2882350217551,583.172451405084,5330.31532850243,71568.1911555584,"Yes",173386.497060398,24.1489637749756,681382.076038176,82.8440360492095,70.4748944769038,60,"45_and_up",4,954.226330510083,5,"Foot_or_bicycle","Student_or_Unemployed",775.462839977169,0,"No"
